Species,Elephant,Run,Pearson_r,Spearman_rho,RMSE,MAE,Jaccard,n_pixels
E1B,E1,B,0.9517867453572576,0.9256359345606721,0.09598819482032349,0.05811366210373,0.7868668480810734,952119
E2B,E2,B,0.9280834353972309,0.910427309294159,0.11521082774739053,0.0663680007801293,0.7716101757989848,952119
E3B,E3,B,0.9466401295296836,0.9110588288875364,0.1101322945647155,0.06628674574269647,0.7894234347337441,952119
E4B,E4,B,0.9460697761548006,0.9223657049532282,0.11227681032305123,0.06919321007351402,0.7956300188211687,952119
E5B,E5,B,0.9355655075014246,0.9168683324876845,0.1016435935494528,0.06796981073748248,0.6801188640157544,952119
E6B,E6,B,0.9288561808882432,0.9157191556433101,0.10802968406456098,0.07222481941564202,0.6840519010088718,952119
