original,safe
0,one
9,two
10,three
11,four
12,five
13,six
14,seven
15,eight
16,nine
17,ten
18,eleven
1,twelve
2,thirteen
3,fourteen
4,fifteen
5,sixteen
6,seventeen
7,eighteen
8,nineteen
CosAspect,twenty
1,twentyone
EVI,twentytwo
3,twentythree
4,twentyfour
NDVI,twentyfive
7,twentysix
